time,text,event
Tue Mar 27 04:57:52 +0000 2012,"@telediariomty que esta pasando en Nuevo Laredo? Muertos, colgados, balacera?",
Sat Mar 12 05:48:52 +0000 2011,Atorados en la mty laredo por balacera #noestapadre yo solo queria ir a laredo :(,
Wed Aug 01 14:09:06 +0000 2012,http://t.co/YfgXYFNY Fuerte BALACERA  se vivio hace unos momentos en #reynosa #reynosafollow #mty #mtyfollow,
Wed Aug 01 15:12:15 +0000 2012,http://t.co/yrKMoeAQ Fuerte BALACERA se vivio hace unos momentos cuidense¡¡¡¡ #nl #gdl #mty #slp #morelos,
Thu Feb 02 00:17:58 +0000 2012,terrible balacera hace un ratito.. espero no haya heridos http://t.co/vFeC5DUw #mtyfollow,
Fri Feb 03 00:08:00 +0000 2012,fuerte balacera hace rato!! a ver si no siguen!! espero no haya muertos http://t.co/c6efHFsO #mty #nl #nuevoleon #monterrey #mexico #df,
Fri Oct 28 19:48:20 +0000 2011,http://t.co/XY7UWM3w Se habla de detonaciones y movilización policiaca x balacera en #reynosafollow #reynosa #mtyfollow #mtyf #nl,
Wed Dec 07 15:25:07 +0000 2011,"alerta roja, se sucita, tremenda balacera en las calles, cuidado http://t.co/cqY5QMds #mtyfollow #mty #nuevoleon #cadereyta",
Fri Oct 28 19:21:24 +0000 2011,"VillaFlorida , Av. Colorines , Col. Hidalgo mucha movilizacion x balacera http://t.co/ZpKad2ln  en #reynosafollow #reynosa #mtyfollow",
Sat Sep 24 13:41:53 +0000 2011,Balacera en las calles de Reynosa nmiren x donde va  http://t.co/ljbAtZKG #tamaulipas #reynosa #reynosafollow #mty,
Tue Oct 04 22:16:57 +0000 2011,#merida #altamira #hidalgo #mtyfollow balacera se vivio hace unos instantes http://t.co/cFkHNKB5 putos narcos,
Fri Nov 04 19:42:36 +0000 2011,va de nuevoo¡¡¡ fuerte balacera en vivo miren #reynosa #tamaulipas #mtyfollow #mty http://t.co/D1ud2wAo,
Sun Mar 11 22:13:04 +0000 2012,fuerte balacera!!! andan todos tuiteando como locos http://t.co/0A2fHJnT #mtyfollow #mty #nl #nuevoleon #monterrey #mexico #df,
Fri Nov 04 20:15:15 +0000 2011,miren como sigue la balacera en #reynosafollow http://t.co/UBjCy6vX #nl #mtyfollow #mtyfollow #slp #zacatecas,
Sun Oct 23 23:36:34 +0000 2011,y hoy una balacera mas miren como estan y x donde va en #reynosa http://t.co/SxdVwZ2f #mtyfolow #tamaulipas #coahuila #nl,
Thu Aug 02 13:45:13 +0000 2012,"#zacatecas #cancun #chiapas #mtyfollow http://t.co/SyPOZSxJ Se registro BALACERA hace unos momentos, hay terror x este hecho",
Wed Nov 16 15:25:16 +0000 2011,#reynosa #monterrey #nl #tamaulipas #coahuila les dejo lo q esta pasando en estos momentos en la balacera miren http://t.co/ObAxkWiQ,
Thu Aug 02 13:22:31 +0000 2012,http://t.co/2CohRXTB Se registro BALACERA hace unos instantes mira todo lo ke acasionaron  #mty #acapulco #gdl #gdlfollow,
Wed Nov 16 15:25:16 +0000 2011,fuerte balacera esta pasando tengan mucho cuidado miren http://t.co/ObAxkWiQ #reynosafollow #reynosa #mtyfollow #tamaulipas #nl,
Mon Oct 24 15:17:30 +0000 2011,miren la balacera en #reynosafollow #tamaulipas estas son las calles x donde paso y sigue moviento http://t.co/j31bylfB #mtyfolow #mty #nl,
Mon Oct 24 15:17:30 +0000 2011,sigue el movimiento en calles x donde paso balacera aguass http://t.co/j31bylfB #tamaulipas #reynosa #reynosafollow #nl #mty #mtyfollow #df,
Sun May 16 18:55:00 +0000 2010,RT @ArnulfoBisconde: Balacera en las calles de Reynosa nmiren x donde va  http://t.co/ljbAtZKG #tamaulipas #reynosa #reynosafollow #mty,
Fri Oct 28 19:21:24 +0000 2011,ahi le dojo lo ultiomo de la balacera miren las calles x donde paso http://t.co/ZpKad2ln #reynosa #mty #mtyfollow #reynosafollow,
Sun Mar 11 22:49:44 +0000 2012,esperemos q sea la unica balacera del día :S http://t.co/bUBy7Uyv #mtyfollow #mty #nl #nuevoleon #monterrey,
